operation,url,clickCount
scroll_up,http://stackoverflow.com/questions/7852530/adding-object-to-array-of-arrays
,105
target_clicked,http://stackoverflow.com/questions/30180360/what-steps-can-you-make-to-make-a-java-object-with-a-setter-to-be-immutable,1
target_clicked,http://stackoverflow.com/questions/10556369/mouselistener-in-canvas-not-working,1
scroll_up,http://stackoverflow.com/questions/19127572/finding-growth-functions-big-o
,3
scroll_down,http://stackoverflow.com/questions/5212983/jlist-add-remove-item
,474
target_clicked,http://stackoverflow.com/questions/7817951/string-concatenation-in-java-when-to-use-stringbuilder-and-concat,2
scroll_up,http://stackoverflow.com/questions/3058976/java-protected-method-accessibility
,191
scroll_down,http://stackoverflow.com/questions/7686544/is-it-possible-to-find-the-present-index-in-an-enhanced-for-loop
,90
scroll_down,http://stackoverflow.com/questions/19809739/call-a-class-from-another-class
,26
scroll_down,http://stackoverflow.com/questions/927358/how-do-you-undo-the-last-commit/6866485#6866485
,153
scroll_down,http://stackoverflow.com/questions/21283148/substring-of-all-data-frame-elements
,47
scroll_down,http://stackoverflow.com/questions/18455749/picking-out-parentheses-out-of-a-string-in-java
,25
scroll_up,http://stackoverflow.com/nocaptcha?s=afb2bf75-c688-494c-940e-1105f26ad710
,6
scroll_down,http://stackoverflow.com/questions/5360795/what-is-the-difference-between-unidirectional-and-bidirectional-associations
,9
target_clicked,http://stackoverflow.com/search?q=how+to+search+through+an+entire+array+for+an+item,3
scroll_up,http://stackoverflow.com/questions/13262333/inserting-node-into-middle-of-linked-list-and-accidentally-inserting-null-node
,224
scroll_down,http://stackoverflow.com/questions/370310/java-get-jpanel-components
,73
target_clicked,http://stackoverflow.com/search?q=example%20toString(),1
scroll_up,http://stackoverflow.com/search?q=boxlayout
,62
scroll_down,http://stackoverflow.com/search?q=color+black
,72
scroll_up,http://stackoverflow.com/questions/5724419/is-it-possible-to-swap-columns-around-in-a-data-frame-using-r
,92
scroll_up,http://stackoverflow.com/questions/4753339/convert-textfield-value-to-int
,65
scroll_up,http://stackoverflow.com/questions/9748160/why-f-is-placed-after-float-values
,84
target_clicked,http://stackoverflow.com/search?q=using+arrays,1
scroll_up,http://stackoverflow.com/questions/5841665/override-abstract-method-compare
,72
scroll_down,http://stackoverflow.com/questions/610199/the-art-of-programming-java-vs-c-sharp
,10
scroll_up,http://stackoverflow.com/questions/1301196/error-attempt-to-call-private-method
,5
target_clicked,http://stackoverflow.com/tour,1
scroll_down,http://stackoverflow.com/questions/26122975/java-string-length-0-and-array-size-0-shorthand
,324
scroll_down,http://stackoverflow.com/search?q=applet%20not%20initialized%20java
,169
scroll_up,http://stackoverflow.com/questions/16214186/merge-sort-with-array-lists-in-java
,171
scroll_down,http://stackoverflow.com/questions/20198279/constructor-call-must-be-the-first-statement-in-a-constructor
,978
target_clicked,http://stackoverflow.com/questions/7325779/calling-a-method-inside-another-method-in-same-class,3
target_clicked,http://stackoverflow.com/search?q=mips%20registers%20address%20and%20memory&s=d21f8f58-e74b-4c06-a5c7-e29772ed3280,4
scroll_up,http://stackoverflow.com/nocaptcha?s=a8652480-ca6e-4c2d-9a64-87712f5bad44
,42
scroll_up,http://stackoverflow.com/questions/2615522/java-bufferedimage-getting-red-green-and-blue-individually/2615530#2615530
,7
scroll_up,http://stackoverflow.com/questions/12328056/how-do-i-delete-rows-in-a-data-frame
,31
target_clicked,http://stackoverflow.com/questions/12208574/using-addmouselistener-and-paintcomponent-for-jpanel,4
scroll_down,http://stackoverflow.com/search?q=read%20from
,22
scroll_down,http://stackoverflow.com/questions/17785863/swapping-elements-in-array-in-mips-assembly-the-clearer-one
,12
scroll_down,http://stackoverflow.com/questions/4587392/can-we-create-an-instance-of-an-interface-in-java
,36
scroll_up,http://stackoverflow.com/search?q=how+do+i+make+an+overloaded+mutator+method
,1
target_clicked,http://stackoverflow.com/questions/5391124/in-r-select-rows-of-a-matrix-that-meet-a-condition,4
scroll_up,http://stackoverflow.com/questions/16787768/java-gridbaglayout-adjusting
,310
scroll_down,http://stackoverflow.com/search?q=read%20string%20into%20array%20in%20java
,90
target_clicked,http://stackoverflow.com/search?q=java%20what%20is%20casting,2
scroll_up,http://stackoverflow.com/questions/18227239/stuck-with-parsing-a-line-to-array
,22
scroll_down,http://stackoverflow.com/search?q=default+color+to+draw+rectangles+is+black
,102
scroll_down,http://stackoverflow.com/questions/20044199/create-object-using-abstract-classes
,30
target_clicked,http://stackoverflow.com/questions/26228386/declaring-scanner-to-read-system-in,1
scroll_down,http://stackoverflow.com/questions/30435054/how-to-show-corpus-text-in-r-tm-package
,17
scroll_up,http://stackoverflow.com/questions/16957728/linked-list-program-to-insert-and-delete-nodes
,23
scroll_up,http://stackoverflow.com/questions/13791409/java-format-double-value-as-dollar-amount
,2
